cia,npoliza,nsiniestro,monto_ocu_mn,atipico,num_sin_tot,media,desv_est,z_score
H,4803,2.017E+13,40313.25,1,32320,2764.849482,5416.291893,6.932492055
H,7535,2.019E+13,26316.91,1,32320,2764.849482,5416.291893,4.348373571
H,4409,2.018E+13,23133.43,1,32320,2764.849482,5416.291893,3.760613519
H,5958,2.015E+13,19167.29,1,32320,2764.849482,5416.291893,3.028352393
H,6587,2.019E+13,62807.5,1,32320,2764.849482,5416.291893,11.08556402
H,6108,2.015E+13,27916.45,1,32320,2764.849482,5416.291893,4.643693696
H,4803,2.015E+13,38697.09,1,32320,2764.849482,5416.291893,6.63410341
H,6587,2.017E+13,18159.1,1,32320,2764.849482,5416.291893,2.84221213
H,5715,2.016E+13,17154.08,1,32320,2764.849482,5416.291893,2.656657138
H,3654,2.017E+13,30606.42,1,32320,2764.849482,5416.291893,5.140337904
H,6477,2.017E+13,64743.7,1,32320,2764.849482,5416.291893,11.44304106
H,7178,2.019E+13,45164.05,1,32320,2764.849482,5416.291893,7.828086328
H,7043,2.017E+13,39814.34,1,32320,2764.849482,5416.291893,6.840379221
H,6665,2.018E+13,20417.11,1,32320,2764.849482,5416.291893,3.259104359
H,7120,2.018E+13,23201.6,1,32320,2764.849482,5416.291893,3.773199621
H,579,2.019E+13,24716.78,1,32320,2764.849482,5416.291893,4.052944515
H,6573,2.019E+13,18710,1,32320,2764.849482,5416.291893,2.943923783
H,6477,2.017E+13,54506.59,1,32320,2764.849482,5416.291893,9.552982288
H,6617,2.017E+13,17264.18,1,32320,2764.849482,5416.291893,2.676984698
H,7083,2.018E+13,47907.59,1,32320,2764.849482,5416.291893,8.334621067
H,6108,2.016E+13,19310.31,1,32320,2764.849482,5416.291893,3.054757913
H,4803,2.017E+13,33646.58,1,32320,2764.849482,5416.291893,5.701637048
H,7023,2.018E+13,30968.59,1,32320,2764.849482,5416.291893,5.207204685
H,6146,2.018E+13,72977.16,1,32320,2764.849482,5416.291893,12.96316962
H,7451,2.017E+13,16877.32,1,32320,2764.849482,5416.291893,2.605559449
H,6146,2.019E+13,29145.14,1,32320,2764.849482,5416.291893,4.870544468
H,7486,2.018E+13,21179.12,1,32320,2764.849482,5416.291893,3.399792862
H,6456,2.019E+13,73952.6,1,32320,2764.849482,5416.291893,13.14326331
H,5140,2.015E+13,28599.92,1,32320,2764.849482,5416.291893,4.769881503
H,1105,2.016E+13,17117.64,1,32320,2764.849482,5416.291893,2.649929288
H,5571,2.016E+13,24500,1,32320,2764.849482,5416.291893,4.012920822
H,2741,2.017E+13,39524.06,1,32320,2764.849482,5416.291893,6.786785359
H,4409,2.019E+13,29500,1,32320,2764.849482,5416.291893,4.936061617
H,5746,2.018E+13,37724.94,1,32320,2764.849482,5416.291893,6.454617146
H,5150,2.015E+13,24220.87,1,32320,2764.849482,5416.291893,3.961385564
H,5361,2.016E+13,19662.5,1,32320,2764.849482,5416.291893,3.119782104
H,5746,2.015E+13,39925.26,1,32320,2764.849482,5416.291893,6.860858176
H,6242,2.016E+13,20366.67,1,32320,2764.849482,5416.291893,3.249791715
H,6344,2.017E+13,59996.8,1,32320,2764.849482,5416.291893,10.56662965
H,6758,2.016E+13,44848.79,1,32320,2764.849482,5416.291893,7.769880455
H,5778,2.016E+13,19358.21,1,32320,2764.849482,5416.291893,3.063601602
H,7023,2.019E+13,31571.3,1,32320,2764.849482,5416.291893,5.318481922
H,7201,2.017E+13,33869.82,1,32320,2764.849482,5416.291893,5.742853438
H,2741,2.017E+13,16835.49,1,32320,2764.849482,5416.291893,2.597836453
H,579,2.018E+13,30286.94,1,32320,2764.849482,5416.291893,5.0813529
H,3675,2.019E+13,59600,1,32320,2764.849482,5416.291893,10.4933692
H,7408,2.017E+13,21522.73,1,32320,2764.849482,5416.291893,3.463232944
H,5160,2.015E+13,29260.91,1,32320,2764.849482,5416.291893,4.89191887
H,6108,2.015E+13,38115.75,1,32320,2764.849482,5416.291893,6.526771676
H,6112,2.015E+13,22918.22,1,32320,2764.849482,5416.291893,3.720879693
